experiment,published,species,ambient ,temp,delta,fvfm
cold,y,stylo,22,22.4,0,0.566
cold,y,stylo,22,22.4,0,0.543
cold,y,acro,22,22.4,0,0.531
cold,y,acro,22,20.5,-2,0.489
cold,y,acro,22,22.4,0,0.477
cold,y,acro,22,22.4,0,0.467
cold,y,stylo,22,22.4,0,0.465
cold,y,stylo,22,18.6,-4,0.465
cold,y,acro,22,22.4,0,0.463
cold,y,acro,22,20.5,-2,0.463
cold,y,acro,22,20.5,-2,0.446
cold,y,acro,22,22.4,0,0.441
cold,y,stylo,22,22.4,0,0.439
cold,y,stylo,22,20.5,-2,0.438
cold,y,stylo,22,20.5,-2,0.433
cold,y,stylo,22,20.5,-2,0.428
cold,y,stylo,22,18.6,-4,0.427
cold,y,stylo,22,22.4,0,0.421
cold,y,stylo,22,20.5,-2,0.421
cold,y,stylo,22,20.5,-2,0.400
cold,y,acro,22,18.6,-4,0.396
cold,y,acro,22,18.6,-4,0.393
cold,y,stylo,22,22.4,0,0.393
cold,y,stylo,22,18.6,-4,0.391
cold,y,acro,22,20.5,-2,0.376
cold,y,acro,22,20.5,-2,0.374
cold,y,stylo,22,20.5,-2,0.372
cold,y,acro,22,22.4,0,0.370
cold,y,acro,22,20.5,-2,0.361
cold,y,stylo,22,18.6,-4,0.343
cold,y,acro,22,18.6,-4,0.341
cold,y,acro,22,18.6,-4,0.338
cold,y,stylo,22,18.6,-4,0.335
cold,y,stylo,22,18.6,-4,0.303
cold,y,acro,22,18.6,-4,0.301
cold,y,acro,22,18.6,-4,0.257
dhw,y,stylo,27,29,2,0.550
dhw,y,stylo,27,27,0,0.547
dhw,y,stylo,27,29,2,0.545
dhw,y,stylo,27,30,3,0.543
dhw,y,stylo,27,31,4,0.543
dhw,y,stylo,27,29,2,0.536
dhw,y,stylo,27,27,0,0.531
dhw,y,stylo,27,31,4,0.529
dhw,y,stylo,27,30,3,0.525
dhw,y,stylo,27,27,0,0.518
dhw,y,stylo,27,30,3,0.494
dhw,y,stylo,27,32,5,0.480
dhw,y,stylo,27,32,5,0.450
